h1,h2,h3
1277,14012,00
1278,15368,00
1279,13786,00
1280,15368,00
1281,13899,00
1282,15481,00
1283,10848,00
1284,14238,00
1285,14238,00
1286,11074,00
1287,13334,00
1288,14264,00
1289,13673,00
1290,14351,00
1291,16385,00
1292,20340,00
1293,17515,00
1294,16837,00
1295,12995,00
1296,17176,00
1297,13560,00
1298,19888,00
1299,18758,00
1300,13334,00
1301,17741,00
1302,17628,00
1303,17515,00
1304,15820,00
1305,19210,00
1306,22713,02
1307,19097,00
1308,20453,00
1309,1808,00
1310,10509,00
1311,7571,00
1312,11978,00
1313,12204,00
1314,12995,00
1315,10396,00
1316,13899,00
1317,10848,00
1318,10735,00
1319,9153,00
1320,14125,00
1321,18871,00
1322,14803,00
1323,18532,00
1324,15481,00
1325,10735,00
1326,16272,00
1327,18080,00
1328,15142,00
1329,15029,00
1330,14916,00
1331,11187,00
1332,15707,00
1333,16498,00
1334,15933,00
1335,15029,00
1336,15029,00
1337,15029,00
1338,15142,00
1339,15255,00
1340,17854,00
1341,15820,00
1342,18532,00
1343,13560,00
1344,17063,00
1345,14690,00
1346,15427,00
1347,14690,00
1348,14803,00
1349,16950,00
1350,16498,00
1351,14690,00
1352,18503,00
1353,17967,00
1354,14238,00
1355,13221,00
1356,17402,00
1357,17402,00
1358,16611,00
1359,17289,00
1360,21244,00
1361,17402,00
1362,17289,00
1363,15594,00
1364,17063,00
1365,19549,00
1366,18306,00
1367,20227,00
1368,14690,00
1369,19759,00
1370,20905,00
1371,13899,00
1372,19360,00
1373,18456,00
1374,15737,00
1375,18080,00
1376,23956,02
1377,19323,00
1378,5876,00
1379,11413,00
1380,10509,00
1381,11526,00
1382,8362,00
1383,8136,00
1384,15707,00
1385,12543,00
1386,14723,00
1387,16611,00
1388,17854,00
1389,18984,00
1390,17096,00
1391,12656,00
1392,20453,00
1393,21583,00
1394,18419,00
1395,20001,00
1396,15594,00
1397,17967,00
1398,19775,00
1399,18532,00
1400,20114,00
1401,21131,00
1402,12769,00
1403,16272,00
1404,17854,00
1405,16950,00
1406,16272,00
1407,16046,00
1408,16385,00
1409,14803,00
1410,12178,00
1411,12404,00
1412,18758,00
1413,17854,00
1414,15368,00
1415,18193,00
1416,15142,00
1417,9718,00
1418,16950,00
1419,11978,00
1420,17854,00
1421,19097,00
1422,18532,00
1423,18645,00
1424,20905,00
1425,17515,00
1426,18758,00
1427,16837,00
1428,13673,00
1429,18871,00
1430,19549,00
1431,11187,00
1432,17176,00
1433,21018,00
1434,19436,00
1435,17402,00
1436,21018,00
1437,17854,00
1438,18645,00
1439,13826,00
1440,13597,00
1441,18645,00
1442,18242,00
1443,15346,00
1444,18532,00
1445,12882,00
1446,23843,02
1447,14916,00
1448,5424,00
1449,12204,00
1450,4746,00
1451,11526,00
1452,11187,00
1453,6780,00
